input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
burma14,Standard ACO,50,200,1_over_distance,1.5,3.0,0.3,None,3416.0,3.708
burma14,Standard ACO,50,200,1_over_distance,1.5,3.5,0.3,None,3416.0,3.619
burma14,Standard ACO,50,200,1_over_distance,1.5,4.0,0.3,None,3416.0,4.106
burma14,Standard ACO,50,200,1_over_distance,2.0,1.0,0.3,None,3573.0,4.009
burma14,Standard ACO,50,200,1_over_distance,2.0,1.5,0.3,None,3572.0,3.751
burma14,Standard ACO,50,200,1_over_distance,2.0,2.0,0.3,None,3760.0,3.735
burma14,Standard ACO,50,200,1_over_distance,2.0,2.5,0.3,None,3416.0,3.733
burma14,Standard ACO,50,200,1_over_distance,2.0,3.0,0.3,None,3416.0,3.867
burma14,Standard ACO,50,200,1_over_distance,2.0,3.5,0.3,None,3479.0,3.885
burma14,Standard ACO,50,200,1_over_distance,2.0,4.0,0.3,None,3439.0,4.187
burma14,Standard ACO,50,200,1_over_distance,2.5,1.0,0.3,None,3821.0,3.893
burma14,Standard ACO,50,200,1_over_distance,2.5,1.5,0.3,None,3506.0,3.687
burma14,Standard ACO,50,200,1_over_distance,2.5,2.0,0.3,None,3572.0,3.667
burma14,Standard ACO,50,200,1_over_distance,2.5,2.5,0.3,None,3701.0,3.629
burma14,Standard ACO,50,200,1_over_distance,2.5,3.0,0.3,None,3784.0,3.693
burma14,Standard ACO,50,200,1_over_distance,2.5,3.5,0.3,None,3624.0,3.701
burma14,Standard ACO,50,200,1_over_distance,2.5,4.0,0.3,None,3584.0,3.7
burma14,Standard ACO,50,200,1_over_distance,3.0,1.0,0.3,None,3783.0,3.621
burma14,Standard ACO,50,200,1_over_distance,3.0,1.5,0.3,None,3829.0,3.26
burma14,Standard ACO,50,200,1_over_distance,3.0,2.0,0.3,None,3743.0,3.276
burma14,Standard ACO,50,200,1_over_distance,3.0,2.5,0.3,None,3638.0,3.277
burma14,Standard ACO,50,200,1_over_distance,3.0,3.0,0.3,None,3542.0,3.345
burma14,Standard ACO,50,200,1_over_distance,3.0,3.5,0.3,None,3528.0,3.287
burma14,Standard ACO,50,200,1_over_distance,3.0,4.0,0.3,None,3622.0,3.367
burma14,Standard ACO,50,200,1_over_distance,3.5,1.0,0.3,None,3323.0,3.36
burma14,Standard ACO,50,200,1_over_distance,3.5,1.5,0.3,None,4186.0,3.371
burma14,Standard ACO,50,200,1_over_distance,3.5,2.0,0.3,None,3644.0,3.298
burma14,Standard ACO,50,200,1_over_distance,3.5,2.5,0.3,None,3459.0,3.302
burma14,Standard ACO,50,200,1_over_distance,3.5,3.0,0.3,None,3636.0,3.37
